Year_Birth,Education,Income,Recency,NumWebVisitsMonth,Complain,Response,Children,total_spent,num_of_purchases,AcceptedCmp,Age,Family_Members,Joined_year,Joined_month,Days_Since_Enrollment,Marital_Status_Alone,Marital_Status_Together,Cluster_Label
1949,2.0,58607.0,63,8,0,0,1,972.0,17.0,1,74.0,3,2012,12,714,0.0,1.0,1
1954,2.0,65324.0,0,4,0,0,1,544.0,20.0,0,69.0,3,2014,11,36,0.0,1.0,2
1951,1.0,40689.0,69,8,0,0,1,444.0,20.0,0,72.0,3,2013,3,629,0.0,1.0,2
1969,1.0,18589.0,89,7,0,0,0,75.0,8.0,0,54.0,1,2013,2,674,1.0,0.0,0
1976,1.0,53359.0,4,7,0,0,2,257.0,14.0,0,47.0,4,2013,5,559,0.0,1.0,2
1986,1.0,51381.5,19,1,0,0,1,637.0,27.0,0,37.0,2,2013,2,655,1.0,0.0,0
1989,1.0,38360.0,26,3,0,0,1,131.0,9.0,0,34.0,3,2013,5,555,0.0,1.0,2
1965,2.0,84618.0,96,2,0,0,0,1672.0,26.0,1,58.0,2,2013,11,380,0.0,1.0,1
1989,2.0,10979.0,34,5,0,0,0,30.0,8.0,0,34.0,1,2014,5,199,1.0,0.0,0
1963,2.0,38620.0,56,3,0,0,0,318.0,11.0,0,60.0,2,2013,11,397,0.0,1.0,2
1970,1.0,40548.0,31,5,0,0,1,120.0,9.0,1,53.0,3,2012,10,788,0.0,1.0,2
1952,2.0,46610.0,8,6,0,1,2,302.0,17.0,0,71.0,3,2012,10,769,1.0,0.0,0
1946,2.0,68657.0,4,7,0,0,0,1196.0,18.0,0,77.0,2,2013,2,655,0.0,1.0,1
1951,2.0,49389.0,55,7,0,0,2,65.0,6.0,0,72.0,3,2013,8,465,1.0,0.0,0
1970,2.0,67353.0,37,2,0,0,1,913.0,28.0,0,53.0,3,2013,12,341,0.0,1.0,1
1976,0.0,23718.0,76,7,0,0,1,81.0,9.0,0,47.0,3,2013,2,666,0.0,1.0,2
1973,1.0,42429.0,99,5,0,0,1,67.0,7.0,0,50.0,2,2014,11,35,1.0,0.0,0
1943,2.0,48948.0,53,6,0,1,0,902.0,24.0,1,80.0,1,2013,1,704,1.0,0.0,3
1980,1.0,80011.0,3,4,0,0,1,1395.0,21.0,0,43.0,3,2013,4,587,0.0,1.0,1
1985,2.0,20559.0,88,8,0,0,1,53.0,7.0,0,38.0,3,2013,12,369,0.0,1.0,2
1957,1.0,21994.0,4,5,0,0,1,22.0,4.0,0,66.0,3,2012,12,713,0.0,1.0,2
1959,2.0,51381.5,80,2,0,0,0,186.0,9.0,0,64.0,1,2013,5,575,1.0,0.0,0
1975,2.0,7500.0,19,5,0,0,1,31.0,8.0,0,48.0,3,2013,2,665,0.0,1.0,2
1976,1.0,79941.0,72,1,0,0,0,984.0,16.0,0,47.0,1,2014,6,162,1.0,0.0,0
1996,0.0,7500.0,24,9,0,1,0,122.0,10.0,0,27.0,2,2012,9,817,0.0,1.0,2
1968,1.0,41728.0,92,10,0,0,1,55.0,5.0,0,55.0,3,2013,5,562,0.0,1.0,2
1951,1.0,51381.5,96,6,0,0,3,124.0,10.0,0,72.0,4,2014,1,340,1.0,0.0,2
1954,2.0,72550.0,39,8,0,0,2,1319.0,28.0,0,69.0,4,2012,8,848,0.0,1.0,1
1957,1.0,65486.0,29,2,0,0,1,507.0,17.0,0,66.0,2,2014,12,2,1.0,0.0,0
1964,2.0,79143.0,2,3,0,0,0,1693.0,29.0,0,59.0,2,2012,11,759,0.0,1.0,1
1977,1.0,35790.0,54,7,0,0,1,72.0,7.0,0,46.0,2,2013,2,674,1.0,0.0,0
1977,1.0,82582.0,54,1,0,1,0,1617.0,21.0,2,46.0,1,2014,7,154,1.0,0.0,3
1978,1.0,66373.0,57,3,0,0,2,606.0,23.0,0,45.0,4,2013,12,366,0.0,1.0,2
1955,2.0,82384.0,55,1,0,1,0,1957.0,27.0,1,68.0,2,2012,11,748,0.0,1.0,3
1966,1.0,70287.0,30,3,0,1,0,1093.0,21.0,0,57.0,1,2013,2,671,1.0,0.0,3
1988,1.0,27938.0,31,3,0,0,1,29.0,6.0,0,35.0,2,2014,4,223,1.0,0.0,0
1982,1.0,51381.5,57,6,0,0,1,46.0,7.0,0,41.0,2,2013,6,538,1.0,0.0,0
1968,2.0,55954.0,63,7,0,0,1,518.0,19.0,0,55.0,3,2014,3,279,0.0,1.0,2
1982,2.0,75777.0,12,1,0,1,0,1438.0,21.0,2,41.0,1,2013,4,609,1.0,0.0,3
1975,1.0,66653.0,18,3,0,0,2,612.0,22.0,0,48.0,4,2012,7,881,0.0,1.0,2
1952,1.0,61823.0,26,7,0,0,1,884.0,24.0,0,71.0,2,2013,2,657,1.0,0.0,0
1951,2.0,67680.0,8,5,0,0,1,606.0,19.0,0,72.0,2,2013,11,396,1.0,0.0,0
1948,1.0,70666.0,29,4,0,0,0,1076.0,16.0,0,75.0,2,2013,6,543,0.0,1.0,1
1971,1.0,25721.0,75,7,0,1,1,34.0,5.0,0,52.0,3,2013,5,565,0.0,1.0,2
1967,1.0,32474.0,0,7,0,0,2,11.0,4.0,0,56.0,4,2014,11,32,0.0,1.0,2
1979,0.0,88194.0,19,5,0,1,1,1274.0,32.0,2,44.0,2,2014,3,263,1.0,0.0,3
1958,1.0,69096.0,4,4,0,0,1,653.0,18.0,0,65.0,3,2013,9,436,0.0,1.0,1
1970,1.0,74854.0,90,5,0,0,3,1562.0,19.0,0,53.0,5,2013,8,490,0.0,1.0,2
1954,2.0,66991.0,1,3,0,0,0,1253.0,21.0,0,69.0,2,2012,11,758,0.0,1.0,1
1973,0.0,51381.5,25,8,0,0,1,109.0,9.0,0,50.0,3,2012,9,814,0.0,1.0,2
1959,1.0,65031.0,29,7,0,0,1,863.0,30.0,0,64.0,3,2013,3,630,0.0,1.0,1
1975,2.0,60631.0,88,7,0,0,2,661.0,24.0,1,48.0,4,2013,5,582,0.0,1.0,2
1952,1.0,28332.0,58,2,0,0,0,65.0,8.0,0,71.0,2,2014,4,221,0.0,1.0,2
1977,1.0,40246.0,68,6,0,0,1,13.0,4.0,0,46.0,2,2012,12,718,1.0,0.0,0
1972,2.0,75251.0,34,5,0,1,0,1890.0,19.0,0,51.0,2,2012,8,832,0.0,1.0,3
1976,1.0,75825.0,40,4,0,1,0,2209.0,22.0,1,47.0,1,2012,12,727,1.0,0.0,3
1976,0.0,26326.0,12,3,1,0,0,18.0,4.0,0,47.0,2,2013,4,607,0.0,1.0,1
1965,1.0,56046.0,9,8,0,1,0,692.0,21.0,1,58.0,2,2013,2,674,0.0,1.0,3
1985,1.0,29760.0,87,8,0,0,1,165.0,12.0,0,38.0,2,2012,8,830,1.0,0.0,0
1969,1.0,26304.0,5,7,0,0,1,16.0,4.0,0,54.0,3,2013,6,532,0.0,1.0,2
1973,0.0,23559.0,87,7,0,0,1,79.0,9.0,0,50.0,3,2013,3,640,0.0,1.0,2
1963,2.0,38620.0,56,3,0,0,0,318.0,11.0,0,60.0,2,2013,11,397,0.0,1.0,2
1987,1.0,81361.0,18,1,0,0,0,778.0,27.0,0,36.0,1,2014,2,285,1.0,0.0,0
1960,1.0,29440.0,95,7,0,0,2,56.0,7.0,0,63.0,4,2013,11,394,0.0,1.0,2
1970,2.0,36138.0,48,7,0,0,2,151.0,13.0,1,53.0,4,2013,7,509,0.0,1.0,2
1957,1.0,50388.0,3,7,0,1,1,372.0,17.0,2,66.0,2,2014,5,193,1.0,0.0,3
1973,1.0,79593.0,70,2,0,0,0,1366.0,19.0,1,50.0,2,2014,12,2,0.0,1.0,1
1967,1.0,54178.0,79,2,0,0,1,194.0,10.0,0,56.0,3,2014,1,320,0.0,1.0,2
1957,2.0,51381.5,4,9,0,0,3,603.0,29.0,0,66.0,5,2012,11,748,0.0,1.0,2
1957,1.0,51381.5,45,7,0,0,2,18.0,4.0,0,66.0,3,2014,5,194,1.0,0.0,0
1973,2.0,51381.5,87,1,0,0,0,985.0,15.0,0,50.0,2,2013,11,379,0.0,1.0,1
1972,2.0,42394.0,69,7,0,0,1,32.0,5.0,0,51.0,2,2014,3,259,1.0,0.0,0
1970,2.0,23626.0,84,5,0,0,1,43.0,10.0,0,53.0,3,2014,5,197,0.0,1.0,2
1983,1.0,30096.0,30,6,0,0,1,45.0,6.0,0,40.0,3,2014,5,199,0.0,1.0,2
1960,1.0,47916.0,72,6,0,0,1,606.0,22.0,1,63.0,2,2012,11,745,1.0,0.0,0
1972,1.0,51813.0,37,7,0,0,2,63.0,7.0,0,51.0,3,2013,11,398,1.0,0.0,0
1951,0.0,78497.0,44,2,0,0,0,978.0,25.0,1,72.0,2,2013,1,694,0.0,1.0,1
1983,2.0,50150.0,32,5,0,0,0,410.0,16.0,0,40.0,2,2013,6,535,0.0,1.0,2
1960,0.0,47823.0,0,8,0,0,1,72.0,7.0,0,63.0,2,2013,7,502,1.0,0.0,0
1959,2.0,34554.0,43,6,0,0,1,55.0,7.0,0,64.0,2,2014,3,252,1.0,0.0,0
1979,1.0,85693.0,59,5,0,0,1,1169.0,27.0,0,44.0,3,2013,4,596,0.0,1.0,1
1945,2.0,65846.0,68,4,0,0,0,1120.0,16.0,0,78.0,2,2013,5,569,0.0,1.0,1
1959,1.0,87195.0,35,1,0,1,0,1097.0,20.0,0,64.0,2,2014,8,124,0.0,1.0,3
1979,0.0,24594.0,94,5,0,0,1,29.0,5.0,0,44.0,3,2013,10,421,0.0,1.0,2
1964,1.0,49096.0,15,7,0,0,2,187.0,13.0,0,59.0,4,2013,9,439,0.0,1.0,2
1969,1.0,52413.0,56,6,0,0,2,910.0,26.0,0,54.0,4,2013,2,673,0.0,1.0,2
1978,1.0,38557.0,17,7,0,0,1,145.0,9.0,0,45.0,2,2012,12,718,1.0,0.0,0
1960,2.0,89058.0,18,2,0,0,0,850.0,14.0,0,63.0,2,2012,7,878,0.0,1.0,1
1979,1.0,77298.0,46,3,0,0,1,969.0,24.0,0,44.0,3,2013,2,664,0.0,1.0,1
1991,2.0,68126.0,40,9,0,1,0,1820.0,17.0,1,32.0,1,2012,10,787,1.0,0.0,3
1963,2.0,57288.0,27,6,0,0,1,608.0,20.0,1,60.0,3,2014,6,165,0.0,1.0,2
1991,1.0,86037.0,95,3,0,1,0,730.0,25.0,2,32.0,1,2013,2,674,1.0,0.0,3
1980,2.0,43974.0,19,7,0,0,1,551.0,21.0,0,43.0,3,2012,12,725,0.0,1.0,2
1962,1.0,50785.0,27,6,0,0,2,114.0,8.0,0,61.0,3,2013,10,424,1.0,0.0,0
1970,1.0,90765.0,25,1,0,0,0,1724.0,15.0,2,53.0,2,2014,1,317,0.0,1.0,3
1978,0.0,36550.0,74,9,0,0,1,577.0,20.0,0,45.0,3,2013,2,656,0.0,1.0,2
1967,0.0,30753.0,85,5,0,0,2,81.0,7.0,0,56.0,4,2013,11,395,0.0,1.0,2
1969,1.0,21918.0,37,6,0,0,1,33.0,7.0,0,54.0,3,2013,11,388,0.0,1.0,2
1953,2.0,56129.0,65,4,0,0,1,660.0,22.0,0,70.0,3,2013,6,535,0.0,1.0,2
1967,2.0,32557.0,13,5,0,1,1,80.0,9.0,0,56.0,2,2014,2,286,1.0,0.0,0
1985,2.0,19510.0,63,7,0,0,2,30.0,6.0,0,38.0,4,2013,4,607,0.0,1.0,2
1976,1.0,30992.0,83,7,0,0,1,43.0,5.0,0,47.0,2,2013,4,594,1.0,0.0,0
1983,1.0,101970.0,69,2,0,1,0,1135.0,27.0,3,40.0,1,2013,12,369,1.0,0.0,3
1965,0.0,71488.0,87,1,0,0,0,559.0,16.0,0,58.0,2,2013,2,657,0.0,1.0,1
1984,1.0,79607.0,37,1,0,1,0,1923.0,16.0,0,39.0,1,2013,4,595,1.0,0.0,3
1953,2.0,54348.0,51,6,0,0,2,90.0,8.0,0,70.0,4,2014,8,123,0.0,1.0,2
1961,2.0,51381.5,23,6,0,0,1,404.0,17.0,0,62.0,3,2013,11,395,0.0,1.0,2
1956,2.0,77376.0,72,4,0,0,2,661.0,23.0,0,67.0,4,2014,10,63,0.0,1.0,2
1952,1.0,62998.0,10,5,0,0,1,463.0,19.0,0,71.0,3,2013,9,433,0.0,1.0,2
1958,2.0,61331.0,42,8,0,0,2,632.0,23.0,0,65.0,3,2013,10,430,1.0,0.0,0
1969,1.0,73448.0,10,4,0,0,0,725.0,19.0,0,54.0,2,2014,10,66,0.0,1.0,1
1963,1.0,51381.5,96,4,0,0,1,725.0,19.0,0,60.0,3,2013,11,394,0.0,1.0,2
1964,2.0,41551.0,51,8,0,0,2,279.0,16.0,0,59.0,4,2013,8,480,0.0,1.0,2
1967,2.0,62981.0,21,3,0,0,0,1482.0,23.0,1,56.0,2,2013,3,630,0.0,1.0,1
1976,0.0,9548.0,31,8,0,0,1,29.0,6.0,0,47.0,2,2012,8,851,1.0,0.0,0
1959,2.0,33762.0,61,8,0,0,3,106.0,9.0,0,64.0,5,2013,7,518,0.0,1.0,2
1973,2.0,35860.0,37,5,0,1,2,49.0,6.0,1,50.0,3,2014,5,202,1.0,0.0,0
1965,2.0,36921.0,74,7,0,0,2,38.0,7.0,0,58.0,3,2013,7,497,1.0,0.0,0
1992,2.0,92859.0,46,2,0,0,0,2077.0,22.0,0,31.0,1,2012,10,779,1.0,0.0,3
1976,2.0,65104.0,4,7,0,1,1,1053.0,17.0,0,47.0,3,2013,11,388,0.0,1.0,3
1962,1.0,86111.0,73,2,0,0,0,1385.0,23.0,0,61.0,2,2013,4,597,0.0,1.0,1
1974,2.0,68352.0,47,6,0,0,1,871.0,25.0,0,49.0,2,2013,8,466,1.0,0.0,0
1988,1.0,41883.0,13,7,0,0,1,312.0,12.0,0,35.0,3,2013,3,628,0.0,1.0,2
1976,1.0,59809.0,36,8,0,0,2,877.0,15.0,0,47.0,4,2012,10,780,0.0,1.0,2
1975,1.0,23957.0,47,6,0,1,1,68.0,6.0,0,48.0,3,2012,10,770,0.0,1.0,2
1981,1.0,38547.0,49,8,1,0,1,22.0,4.0,0,42.0,3,2013,8,466,0.0,1.0,1
1973,0.0,35688.0,94,8,0,0,3,211.0,16.0,0,50.0,5,2012,8,837,0.0,1.0,2
1966,2.0,49605.0,65,3,0,0,0,127.0,8.0,0,57.0,2,2014,6,169,0.0,1.0,2
1953,2.0,59354.0,59,3,0,0,2,459.0,16.0,0,70.0,4,2014,4,227,0.0,1.0,2
1969,1.0,65747.0,96,6,0,0,1,460.0,19.0,1,54.0,3,2014,7,157,0.0,1.0,2
1972,0.0,46344.0,28,7,0,0,1,429.0,17.0,0,51.0,3,2012,12,723,0.0,1.0,2
1988,1.0,34176.0,12,6,0,0,1,89.0,11.0,0,35.0,2,2014,12,2,1.0,0.0,0
1952,2.0,61010.0,57,5,0,0,1,1021.0,26.0,0,71.0,3,2012,9,818,0.0,1.0,1
1949,1.0,69372.0,10,4,0,1,0,1381.0,21.0,2,74.0,2,2013,2,656,0.0,1.0,3
1958,1.0,49967.0,4,7,0,0,1,306.0,15.0,0,65.0,2,2013,8,487,1.0,0.0,0
1978,1.0,60199.0,49,4,0,0,3,18.0,4.0,0,45.0,4,2013,12,363,1.0,0.0,0
1977,1.0,55375.0,3,2,0,0,1,162.0,9.0,0,46.0,3,2013,10,416,0.0,1.0,2
1955,1.0,80317.0,64,1,0,0,0,1231.0,18.0,0,68.0,1,2013,8,474,1.0,0.0,0
1958,2.0,30523.0,0,7,0,0,3,13.0,4.0,0,65.0,4,2013,1,699,1.0,0.0,0
1945,2.0,70356.0,20,6,0,0,0,1706.0,27.0,0,78.0,2,2012,5,940,0.0,1.0,1
1984,1.0,23228.0,91,8,0,0,1,121.0,11.0,0,39.0,3,2014,5,220,0.0,1.0,2
1975,2.0,74165.0,9,2,0,0,0,1293.0,20.0,0,48.0,1,2013,1,701,1.0,0.0,0
1973,2.0,117416.25,98,0,0,0,1,1608.0,37.0,0,50.0,3,2014,1,338,0.0,1.0,1
1966,1.0,43482.0,83,6,0,0,3,88.0,9.0,0,57.0,5,2013,11,389,0.0,1.0,2
1953,1.0,62551.0,27,3,0,0,0,421.0,18.0,1,70.0,1,2013,11,384,1.0,0.0,0
1959,1.0,52332.0,63,4,0,0,0,259.0,12.0,1,64.0,1,2013,8,466,1.0,0.0,0
1988,1.0,66951.0,46,1,0,0,0,1117.0,15.0,0,35.0,1,2013,2,664,1.0,0.0,0
1957,1.0,26091.0,84,5,0,0,2,89.0,9.0,0,66.0,4,2014,2,285,0.0,1.0,2
1965,1.0,33456.0,58,7,0,0,2,36.0,6.0,0,58.0,4,2014,4,230,0.0,1.0,2
1982,1.0,28718.0,78,8,0,0,1,57.0,7.0,0,41.0,3,2013,7,512,0.0,1.0,2
1970,1.0,50447.0,4,6,0,0,2,148.0,8.0,0,53.0,4,2014,4,230,0.0,1.0,2
1959,2.0,53537.0,17,5,0,0,2,93.0,8.0,0,64.0,4,2014,1,311,0.0,1.0,2
1967,1.0,52074.0,77,4,0,0,1,119.0,7.0,1,56.0,2,2014,4,247,1.0,0.0,0
1975,2.0,80427.0,56,5,0,0,1,1835.0,28.0,0,48.0,3,2012,12,728,0.0,1.0,1
1948,2.0,83837.0,79,4,0,1,0,1318.0,25.0,2,75.0,2,2012,12,721,0.0,1.0,3
1970,2.0,38853.0,90,7,0,0,2,45.0,7.0,0,53.0,4,2014,5,198,0.0,1.0,2
1959,1.0,38285.0,96,2,0,0,3,10.0,4.0,0,64.0,5,2014,6,166,0.0,1.0,2
1951,0.0,78497.0,44,2,0,0,0,978.0,25.0,1,72.0,2,2013,1,694,0.0,1.0,1
1976,2.0,51650.0,81,5,0,0,1,191.0,10.0,0,47.0,3,2014,11,32,0.0,1.0,2
1988,0.0,16248.0,77,6,0,0,1,57.0,9.0,0,35.0,3,2014,10,63,0.0,1.0,2
1946,2.0,66835.0,21,2,0,0,0,1033.0,24.0,0,77.0,2,2013,9,435,0.0,1.0,1
1984,2.0,30477.0,16,6,0,0,1,66.0,6.0,0,39.0,3,2014,1,319,0.0,1.0,2
1961,0.0,28249.0,80,6,0,0,0,43.0,6.0,0,62.0,2,2014,6,175,0.0,1.0,2
1983,1.0,25271.0,45,9,0,0,1,50.0,5.0,0,40.0,3,2012,5,939,0.0,1.0,2
1970,2.0,32303.0,63,5,0,0,1,39.0,7.0,0,53.0,2,2014,8,126,1.0,0.0,0
1966,1.0,61286.0,34,5,0,0,1,608.0,18.0,0,57.0,3,2013,2,667,0.0,1.0,2
1976,1.0,74068.0,14,2,0,0,0,1581.0,24.0,0,47.0,2,2013,3,628,0.0,1.0,1
1964,2.0,45759.0,13,7,0,0,2,68.0,7.0,0,59.0,4,2013,2,652,0.0,1.0,2
1978,0.0,24882.0,52,6,0,0,1,80.0,5.0,1,45.0,3,2012,9,819,0.0,1.0,2
1989,2.0,66973.0,98,3,0,0,0,1282.0,28.0,0,34.0,2,2013,5,569,0.0,1.0,1
1900,0.0,36640.0,99,5,1,0,1,65.0,6.0,0,91.0,2,2013,9,437,1.0,0.0,0
1988,1.0,38872.0,93,8,0,0,1,91.0,8.0,0,35.0,3,2013,5,556,0.0,1.0,2
1973,1.0,51148.0,38,6,0,0,2,315.0,16.0,0,50.0,4,2013,2,657,0.0,1.0,2
1977,1.0,31353.0,24,8,0,0,2,31.0,6.0,0,46.0,4,2013,12,343,0.0,1.0,2
1980,2.0,69661.0,80,3,0,0,0,834.0,23.0,0,43.0,2,2014,5,208,0.0,1.0,1
1954,1.0,80067.0,82,2,0,0,0,1600.0,17.0,1,69.0,2,2013,9,444,0.0,1.0,1
1954,1.0,86718.0,20,2,0,0,0,1270.0,17.0,0,69.0,2,2013,1,689,0.0,1.0,1
1973,2.0,46854.0,81,8,0,1,2,263.0,15.0,1,50.0,3,2014,3,251,1.0,0.0,0
1952,1.0,69142.0,50,5,0,0,1,535.0,19.0,1,71.0,2,2014,6,161,1.0,0.0,0
1968,1.0,75922.0,60,1,0,0,0,1295.0,18.0,0,55.0,1,2013,9,451,1.0,0.0,0
1978,1.0,63693.0,63,6,0,0,1,1150.0,29.0,0,45.0,2,2013,10,419,1.0,0.0,0
1977,2.0,102160.0,54,4,0,1,0,1240.0,26.0,3,46.0,2,2012,2,1030,0.0,1.0,3
1965,2.0,40637.0,72,7,0,0,2,38.0,6.0,0,58.0,3,2013,7,508,1.0,0.0,0
1984,2.0,18890.0,5,6,0,1,0,35.0,4.0,1,39.0,1,2012,10,787,1.0,0.0,0
1988,1.0,29604.0,88,9,0,0,1,53.0,5.0,1,35.0,3,2013,8,482,0.0,1.0,2
1963,2.0,48721.0,50,6,0,0,2,293.0,17.0,0,60.0,3,2013,5,573,1.0,0.0,0
1966,1.0,44794.0,99,6,0,0,1,65.0,6.0,0,57.0,3,2014,8,123,0.0,1.0,2
1954,1.0,64497.0,17,8,0,1,1,1804.0,29.0,1,69.0,2,2012,10,789,1.0,0.0,3
1956,1.0,46097.0,11,4,0,0,1,241.0,15.0,0,67.0,3,2013,3,616,0.0,1.0,2
1954,1.0,77972.0,18,1,0,0,0,1101.0,20.0,0,69.0,2,2014,3,264,0.0,1.0,1
1968,2.0,44377.0,70,8,0,0,2,264.0,19.0,0,55.0,4,2012,5,941,0.0,1.0,2
1974,2.0,46014.0,21,7,0,0,2,541.0,26.0,0,49.0,4,2013,1,685,0.0,1.0,2
1985,1.0,70951.0,66,1,0,0,0,1198.0,17.0,0,38.0,2,2013,4,611,0.0,1.0,1
1977,1.0,41443.0,79,8,0,0,1,482.0,20.0,0,46.0,3,2014,1,337,0.0,1.0,2
1978,0.0,52195.0,2,8,0,0,3,17.0,4.0,0,45.0,4,2014,12,2,1.0,0.0,0
1948,2.0,83790.0,81,3,0,0,0,1615.0,25.0,2,75.0,2,2013,11,387,0.0,1.0,1
1954,2.0,44551.0,24,7,0,0,1,285.0,12.0,0,69.0,2,2013,8,463,1.0,0.0,0
1980,1.0,69508.0,48,6,0,0,1,1135.0,28.0,0,43.0,3,2012,11,753,0.0,1.0,1
1988,0.0,45204.0,93,3,0,0,1,114.0,7.0,0,35.0,3,2014,11,33,0.0,1.0,2
1969,1.0,72460.0,56,1,0,0,0,1047.0,16.0,0,54.0,2,2013,11,388,0.0,1.0,1
1970,2.0,77622.0,3,3,0,0,2,714.0,22.0,0,53.0,4,2014,4,237,0.0,1.0,2
1980,2.0,30732.0,44,8,0,0,1,185.0,13.0,0,43.0,3,2013,5,585,0.0,1.0,2
1962,1.0,63887.0,38,6,0,0,1,1245.0,32.0,0,61.0,2,2012,8,850,1.0,0.0,0
1978,1.0,42011.0,46,8,0,0,1,189.0,12.0,0,45.0,3,2013,3,621,0.0,1.0,2
1976,1.0,51369.0,84,8,0,0,1,576.0,16.0,0,47.0,3,2012,10,773,0.0,1.0,2
1952,1.0,51537.0,27,8,0,0,1,1103.0,18.0,0,71.0,2,2012,9,816,1.0,0.0,0
1972,2.0,79930.0,72,2,0,0,0,1753.0,17.0,0,51.0,2,2012,8,851,0.0,1.0,1
1986,2.0,34320.0,66,8,0,0,1,17.0,4.0,0,37.0,3,2014,2,294,0.0,1.0,2
1966,1.0,37070.0,30,7,0,1,2,433.0,23.0,0,57.0,3,2013,3,627,1.0,0.0,0
1962,0.0,81975.0,2,7,0,0,1,1588.0,14.0,1,61.0,2,2013,5,585,1.0,0.0,0
1971,1.0,38590.0,65,8,0,0,1,22.0,4.0,0,52.0,3,2013,5,571,0.0,1.0,2
1951,1.0,15033.0,37,3,0,0,0,19.0,5.0,0,72.0,1,2014,4,235,1.0,0.0,0
1965,2.0,62745.0,89,5,0,0,1,1117.0,29.0,0,58.0,3,2013,3,624,0.0,1.0,1
1975,0.0,22212.0,49,6,0,0,1,69.0,8.0,0,48.0,3,2013,9,451,0.0,1.0,2
1982,2.0,23661.0,46,7,0,0,1,23.0,5.0,0,41.0,3,2013,4,604,0.0,1.0,2
1958,2.0,79761.0,32,3,0,0,1,605.0,19.0,0,65.0,2,2013,4,606,1.0,0.0,0
1973,1.0,7500.0,54,7,0,0,1,57.0,11.0,0,50.0,2,2013,12,346,1.0,0.0,0
1893,0.0,60182.0,23,4,0,0,1,22.0,4.0,0,91.0,2,2014,5,204,1.0,0.0,2
1968,1.0,73455.0,98,3,0,0,0,2088.0,22.0,1,55.0,1,2013,10,405,1.0,0.0,0
1958,1.0,64961.0,97,3,0,0,1,1009.0,16.0,0,65.0,3,2012,12,714,0.0,1.0,1
1971,1.0,22804.0,75,9,0,0,1,26.0,5.0,0,52.0,2,2013,7,494,1.0,0.0,0
1990,1.0,73687.0,8,2,0,1,0,1627.0,22.0,1,33.0,2,2013,11,374,0.0,1.0,3
1958,1.0,61074.0,37,7,0,0,1,1102.0,31.0,0,65.0,3,2012,8,842,0.0,1.0,1
1964,2.0,31686.0,31,6,0,0,2,17.0,6.0,0,59.0,4,2014,5,215,0.0,1.0,2
1972,1.0,80134.0,40,6,0,1,1,1690.0,16.0,3,51.0,3,2013,5,566,0.0,1.0,3
1953,1.0,75027.0,74,5,0,0,1,1390.0,21.0,0,70.0,3,2013,9,462,0.0,1.0,1
